query_id	update_id	nugget_id	match_start	match_end	auto_p
26	1358325066-b150346d65cbcdc6d9179923a6926883-2	VM26.032	0	89	0
26	1358325066-b150346d65cbcdc6d9179923a6926883-3	VM26.021	0	106	0
26	1358325066-b150346d65cbcdc6d9179923a6926883-6	VM26.006	0	63	0
26	1358325327-798f28578d4274f1110e73636819794e-60	VM26.003	0	64	0
26	1358325327-798f28578d4274f1110e73636819794e-60	VM26.021	66	108	0
26	1358325330-117cadc1b33e693246609d67b6f8ac21-39	VM26.032	0	121	0
26	1358325813-798f28578d4274f1110e73636819794e-0	VM26.003	0	39	0
26	1358325813-798f28578d4274f1110e73636819794e-60	VM26.003	0	64	0
26	1358325973-b150346d65cbcdc6d9179923a6926883-1	VM26.003	13	31	0
26	1358326115-e8c6d9fad14469a16313d8324856c207-24	VM26.003	125	172	0
26	1358326115-e8c6d9fad14469a16313d8324856c207-24	VM26.013	219	304	0
26	1358326464-09dd06e43cb0e2cd1d87e1fc6b4ca03b-343	VM26.003	23	128	0
26	1358326638-144d2bf7b69104b068c30cd42b9d7907-42	VM26.007	0	70	0
26	1358326638-144d2bf7b69104b068c30cd42b9d7907-89	VM26.003	0	55	0
26	1358326671-77c63db6303c116ebcb156282bc382e1-59	VM26.003	28	155	0
26	1358327097-a0eafde8cff4498f15bafd43c0534920-36	VM26.008	15	61	0
26	1358327097-a0eafde8cff4498f15bafd43c0534920-36	VM26.013	97	197	0
26	1358327608-aa020f1a1090c03ef9b53379e73728e2-43	VM26.003	9	52	0
26	1358327752-cdaebd44df24cec663b50a25ad403bd9-54	VM26.003	29	100	0
26	1358327752-cdaebd44df24cec663b50a25ad403bd9-55	VM26.021	1	101	0
26	1358327951-144d2bf7b69104b068c30cd42b9d7907-91	VM26.003	0	55	0
26	1358328595-07e87261b1c383d4b65f910b5d8781b1-78	VM26.003	2	104	0
26	1358328849-5a6a39d02e13643b00aa5ed09e4fd1df-25	VM26.003	1	152	0
26	1358328849-5a6a39d02e13643b00aa5ed09e4fd1df-26	VM26.007	54	116	0
26	1358329239-07e87261b1c383d4b65f910b5d8781b1-80	VM26.013	92	151	0
26	1358329292-1d9e92f34f1af669d408632eddcc312d-10	VM26.003	58	103	0
26	1358329349-afb47fad5f51dc26b2a4cdd319ef8a34-67	VM26.002	75	117	0
26	1358329349-afb47fad5f51dc26b2a4cdd319ef8a34-67	VM26.003	0	75	0
26	1358330310-7060ed69f092c2deaf5c929fa9ffc7a7-73	VM26.002	178	203	0
26	1358330310-7060ed69f092c2deaf5c929fa9ffc7a7-73	VM26.007	92	178	0
26	1358330630-fc9392e63a18aef2b31fc1a9b9778a6c-64	VM26.003	0	143	0
26	1358330828-6f4e7ae6fa72889fbc25a7123113f190-76	VM26.002	178	203	0
26	1358330828-6f4e7ae6fa72889fbc25a7123113f190-76	VM26.007	92	178	0
26	1358331342-d9aab7a2555c96211402d4cb965c41b9-22	VM26.003	0	154	0
26	1358331363-ffa1f9d1c8cfca546b3d206eed92abdd-147	VM26.003	41	172	0
26	1358331634-bdc6b62046abcefb313d576e2e517d86-154	VM26.003	71	172	0
26	1358331634-bdc6b62046abcefb313d576e2e517d86-154	VM26.009	23	70	0
26	1358332082-c54d5d1269cbe5fae06edceb9c9181f6-42	VM26.009	0	41	0
26	1358333364-5edf6f14b133c412a0acba0671685040-46	VM26.003	40	174	0
26	1358333364-5edf6f14b133c412a0acba0671685040-46	VM26.019	11	33	0
26	1358333576-bc81213de335bcef1536c2f5ba6b8f93-56	VM26.003	76	135	0
26	1358333576-bc81213de335bcef1536c2f5ba6b8f93-56	VM26.009	136	168	0
26	1358334305-4aec5353aa28a5a52d9ec44a428c30e7-46	VM26.009	0	59	0
26	1358334305-4aec5353aa28a5a52d9ec44a428c30e7-46	VM26.018	122	159	0
26	1358334305-4aec5353aa28a5a52d9ec44a428c30e7-50	VM26.003	0	50	0
26	1358334305-4aec5353aa28a5a52d9ec44a428c30e7-50	VM26.006	55	67	0
26	1358334305-4aec5353aa28a5a52d9ec44a428c30e7-50	VM26.013	72	88	0
26	1358334365-e0416ebc74c07ee808d66572c06ea3fa-46	VM26.003	0	45	0
26	1358334365-e0416ebc74c07ee808d66572c06ea3fa-46	VM26.009	48	57	0
26	1358334462-82436fcb7105afcdfa926bd3fc957885-46	VM26.002	55	82	0
26	1358334462-82436fcb7105afcdfa926bd3fc957885-46	VM26.003	30	54	0
26	1358334462-82436fcb7105afcdfa926bd3fc957885-46	VM26.009	0	29	0
26	1358334976-1577aa5c48e66d688b7aa5fa59985466-66	VM26.009	0	16	0
26	1358334976-1577aa5c48e66d688b7aa5fa59985466-66	VM26.018	42	124	0
26	1358335660-6f4e7ae6fa72889fbc25a7123113f190-74	VM26.003	26	146	0
26	1358335660-6f4e7ae6fa72889fbc25a7123113f190-74	VM26.009	149	168	0
26	1358335660-6f4e7ae6fa72889fbc25a7123113f190-74	VM26.026	223	237	0
26	1358336333-09664e4389452b816b2e844350d081f9-199	VM26.031	17	100	0
26	1358336394-3e0e2c09e65a1ea73ecf40b9d796e847-182	VM26.031	18	101	0
26	1358337114-095bbda6ffe6b4270bdaf899997dd392-7	VM26.003	0	70	0
26	1358337114-095bbda6ffe6b4270bdaf899997dd392-7	VM26.009	73	104	0
26	1358337114-095bbda6ffe6b4270bdaf899997dd392-7	VM26.018	107	130	0
26	1358339919-37cd513e2a7c97e52a45f26060e536ce-85	VM26.009	0	63	0
26	1358341479-5575df07a21b444298bdc0faec33eec8-148	VM26.003	0	101	0
26	1358341479-5575df07a21b444298bdc0faec33eec8-148	VM26.013	104	152	0
26	1358344631-fc8b5f729c27aff238059a93be6c95fe-105	VM26.003	40	78	0
26	1358344631-fc8b5f729c27aff238059a93be6c95fe-105	VM26.009	80	96	0
26	1358344631-fc8b5f729c27aff238059a93be6c95fe-127	VM26.019	39	184	0
26	1358345026-e6e1154fb5c8cd1c9bab3b178adccf33-109	VM26.002	58	79	0
26	1358345026-e6e1154fb5c8cd1c9bab3b178adccf33-109	VM26.003	79	145	0
26	1358345061-2ce34d144d713daefd5123cf3d3d5fee-15	VM26.003	47	86	0
26	1358345061-2ce34d144d713daefd5123cf3d3d5fee-15	VM26.009	0	47	0
26	1358347500-b855cea492ddfa8a28fedeaf6833f329-60	VM26.024	0	174	0
26	1358349163-55e0931b40b48649606b83b5ca8ae5e7-31	VM26.003	16	52	0
26	1358349163-55e0931b40b48649606b83b5ca8ae5e7-31	VM26.018	9	15	0
26	1358349163-55e0931b40b48649606b83b5ca8ae5e7-31	VM26.019	0	7	0
26	1358349163-55e0931b40b48649606b83b5ca8ae5e7-40	VM26.026	0	39	0
26	1358349810-6609ee6afd8f3b6dfb73e21ad94d04a7-49	VM26.003	0	23	0
26	1358350157-89325f2c6a1c483377068d29517a86b2-141	VM26.030	0	116	0
26	1358350157-89325f2c6a1c483377068d29517a86b2-141	VM26.031	172	230	0
26	1358350920-6f4e7ae6fa72889fbc25a7123113f190-85	VM26.030	0	116	0
26	1358350920-6f4e7ae6fa72889fbc25a7123113f190-85	VM26.031	172	230	0
26	1358352042-6f4e7ae6fa72889fbc25a7123113f190-110	VM26.003	10	36	0
26	1358352042-6f4e7ae6fa72889fbc25a7123113f190-110	VM26.009	0	10	0
26	1358352042-6f4e7ae6fa72889fbc25a7123113f190-85	VM26.021	0	65	0
26	1358352042-6f4e7ae6fa72889fbc25a7123113f190-86	VM26.030	0	116	0
26	1358352042-6f4e7ae6fa72889fbc25a7123113f190-86	VM26.031	172	230	0
26	1358352440-dbe0a067fb8eb2b49b7ff5c0d379fe8a-37	VM26.003	0	70	0
26	1358352440-dbe0a067fb8eb2b49b7ff5c0d379fe8a-38	VM26.019	0	11	0
