query_id	update_id	nugget_id	match_start	match_end	auto_p
26	1358353166-7b32de22a8f61f2c6d86e40a5a786cc7-1	VM26.019	0	60	0
26	1358353166-7b32de22a8f61f2c6d86e40a5a786cc7-10	VM26.019	0	117	0
26	1358353166-7b32de22a8f61f2c6d86e40a5a786cc7-11	VM26.008	30	74	0
26	1358353166-7b32de22a8f61f2c6d86e40a5a786cc7-11	VM26.026	77	93	0
26	1358353210-8d859149269ad8c0da133e4293a73772-153	VM26.003	116	245	0
26	1358353210-8d859149269ad8c0da133e4293a73772-153	VM26.009	57	85	0
26	1358353210-8d859149269ad8c0da133e4293a73772-153	VM26.018	90	109	0
26	1358353210-8d859149269ad8c0da133e4293a73772-164	VM26.002	210	234	0
26	1358353210-8d859149269ad8c0da133e4293a73772-164	VM26.003	54	92	0
26	1358353210-8d859149269ad8c0da133e4293a73772-164	VM26.009	0	31	0
26	1358353210-8d859149269ad8c0da133e4293a73772-164	VM26.018	32	53	0
26	1358353210-8d859149269ad8c0da133e4293a73772-168	VM26.003	0	61	0
26	1358353210-8d859149269ad8c0da133e4293a73772-85	VM26.019	65	102	0
26	1358353210-8d859149269ad8c0da133e4293a73772-88	VM26.024	24	92	0
26	1358353210-8d859149269ad8c0da133e4293a73772-89	VM26.003	46	149	0
26	1358353210-8d859149269ad8c0da133e4293a73772-98	VM26.003	47	91	0
26	1358353210-8d859149269ad8c0da133e4293a73772-98	VM26.009	92	101	0
26	1358353307-3806f4e7a4f5109cec9c93af00532e85-0	VM26.019	0	77	0
26	1358353307-3806f4e7a4f5109cec9c93af00532e85-56	VM26.017	63	87	0
26	1358353307-3806f4e7a4f5109cec9c93af00532e85-63	VM26.019	0	144	0
26	1358353307-3806f4e7a4f5109cec9c93af00532e85-67	VM26.003	29	84	0
26	1358353307-3806f4e7a4f5109cec9c93af00532e85-67	VM26.008	92	167	0
26	1358353307-3806f4e7a4f5109cec9c93af00532e85-67	VM26.019	0	28	0
26	1358353307-3806f4e7a4f5109cec9c93af00532e85-71	VM26.032	0	163	0
26	1358353307-3806f4e7a4f5109cec9c93af00532e85-74	VM26.030	0	78	0
26	1358353307-3806f4e7a4f5109cec9c93af00532e85-81	VM26.008	0	95	0
26	1358353307-3806f4e7a4f5109cec9c93af00532e85-82	VM26.024	0	108	0
26	1358353460-d58ba6bb1ab53856b67a2b541a03a75c-13	VM26.018	0	94	0
26	1358353460-d58ba6bb1ab53856b67a2b541a03a75c-15	VM26.021	0	164	0
26	1358353460-d58ba6bb1ab53856b67a2b541a03a75c-17	VM26.013	60	125	0
26	1358353460-d58ba6bb1ab53856b67a2b541a03a75c-23	VM26.002	0	37	0
26	1358353460-d58ba6bb1ab53856b67a2b541a03a75c-32	VM26.006	101	246	0
26	1358353460-d58ba6bb1ab53856b67a2b541a03a75c-42	VM26.007	0	112	0
26	1358353460-d58ba6bb1ab53856b67a2b541a03a75c-46	VM26.003	0	26	0
26	1358353460-d58ba6bb1ab53856b67a2b541a03a75c-7	VM26.006	32	74	0
26	1358353460-d58ba6bb1ab53856b67a2b541a03a75c-8	VM26.019	0	120	0
26	1358353460-d58ba6bb1ab53856b67a2b541a03a75c-9	VM26.019	0	222	0
26	1358353661-aa7007f60b646861f25a67a6e6d80d18-12	VM26.019	0	39	0
26	1358353661-aa7007f60b646861f25a67a6e6d80d18-17	VM26.013	0	54	0
26	1358353661-aa7007f60b646861f25a67a6e6d80d18-20	VM26.021	0	45	0
26	1358353661-aa7007f60b646861f25a67a6e6d80d18-29	VM26.008	0	28	0
26	1358353666-2fbb08a48a3844d3b4cbe00465d94e54-282	VM26.009	4	37	0
26	1358353666-2fbb08a48a3844d3b4cbe00465d94e54-285	VM26.009	2	37	0
26	1358353666-2fbb08a48a3844d3b4cbe00465d94e54-64	VM26.013	102	166	0
26	1358353668-d767d46cd04cc74295a32054f20091dc-227	VM26.003	0	80	0
26	1358353668-d767d46cd04cc74295a32054f20091dc-277	VM26.003	0	80	0
26	1358353668-d767d46cd04cc74295a32054f20091dc-284	VM26.003	0	25	0
26	1358353879-b30ef9c1a7320f2ec507cc5fbb23e9fe-0	VM26.003	13	49	0
26	1358353879-b30ef9c1a7320f2ec507cc5fbb23e9fe-0	VM26.009	0	7	0
26	1358353929-f26da2b0cdbe96d5a9cc7292fa3658f7-0	VM26.019	0	98	0
26	1358353929-f26da2b0cdbe96d5a9cc7292fa3658f7-38	VM26.002	81	107	0
26	1358353929-f26da2b0cdbe96d5a9cc7292fa3658f7-38	VM26.003	0	33	0
26	1358353972-293af6ff2f6a766a92b3435181fea6ab-1	VM26.009	0	38	0
26	1358353972-293af6ff2f6a766a92b3435181fea6ab-116	VM26.002	58	96	0
